"","superhost","pax","bedrooms","price","review_rating","latitude","longitude","entire_home","hotel_room","shared_room","mininmum_nights","maximum_nights","availability_365","number_of_reviews","fullyBooked","instant_bookable"
"104","FALSE",1,1,425,4.5,-33.98316,18.50311,0,0,0,5,300,365,5,FALSE,"FALSE"
"105","FALSE",2,1,671,4.2,-33.90999,18.41148,1,0,0,3,1125,219,5,FALSE,"TRUE"
"106","FALSE",4,2,1000,4.8,-33.96146,18.4702,1,0,0,3,60,0,46,TRUE,"TRUE"
"107","FALSE",7,3,1800,4.63,-33.98061,18.4793,1,0,0,10,30,8,8,FALSE,"FALSE"
"108","FALSE",2,1,1066,4,-33.9242,18.42451,1,0,0,3,1124,350,13,FALSE,"TRUE"
"109","FALSE",2,1,879,4.9,-33.9096,18.41316,1,0,0,2,1125,7,31,FALSE,"FALSE"
"110","TRUE",6,3,3854,4.91,-33.9263,18.41225,1,0,0,6,200,240,89,FALSE,"FALSE"
"111","FALSE",4,2,1400,4.69,-33.88632,18.48759,1,0,0,7,30,365,15,FALSE,"FALSE"
"112","FALSE",2,1,600,4.78,-33.91449,18.39401,1,0,0,5,40,120,10,FALSE,"FALSE"
"113","TRUE",2,1,615,4.89,-33.93986,18.42288,1,0,0,2,330,328,236,FALSE,"TRUE"
"114","FALSE",4,2,1582,4.6,-34.19873,18.376,1,0,0,3,365,356,11,FALSE,"FALSE"
"115","FALSE",8,4,8097,5,-33.94297,18.41952,1,0,0,7,20,365,2,FALSE,"TRUE"
"116","FALSE",4,2,1472,4.18,-33.81565,18.47259,1,0,0,3,1124,334,11,FALSE,"TRUE"
"117","FALSE",4,2,1740,4,-33.92,18.41758,1,0,0,3,1124,332,4,FALSE,"TRUE"
"118","FALSE",9,4,3900,5,-34.138901,18.328859,1,0,0,2,1125,346,9,FALSE,"FALSE"
"119","FALSE",8,4,4877,4.89,-33.91136,18.41357,1,0,0,3,1125,1,147,FALSE,"FALSE"
"120","TRUE",3,2,1700,4.86,-33.94423,18.41244,1,0,0,2,1125,152,30,FALSE,"FALSE"
"121","FALSE",4,2,1200,5,-34.0808,18.85997,1,0,0,3,90,240,1,FALSE,"FALSE"
"122","FALSE",4,2,1100,4.33,-33.93214,18.45167,1,0,0,7,365,365,6,FALSE,"FALSE"
"123","FALSE",7,4,4629,4.73,-33.92839,18.40357,1,0,0,10,1125,212,16,FALSE,"FALSE"
"124","TRUE",8,4,7000,4.88,-33.9469,18.37914,1,0,0,1,1125,347,52,FALSE,"FALSE"
